# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
APAA,Atestado de Produto Aeronáutico Aprovado,,Atestado de Produto Aeronáutico Aprovado,,,MD33-M-02
Atdr,Atirador,,Atirador,,,MD33-M-02
Att,Atitude,,Atitude,,,MD33-M-02
Atv,Ativação,Atividade;Ativar;Ativo,"Ativação, Atividade, Ativar, Ativo (A)",A,,MD33-M-02
Atlt,Atletismo,Atleta,"Atletismo, Atleta",,,MD33-M-02
Atm,Atmosférica,Atmosfera,"Atmosférica, Atmosfera",,,MD33-M-02
Atom,Atômico,Atomizar,"Atômico, Atomizar",,,MD33-M-02
Ats,Atrasar,Atraso,"Atrasar, Atraso",,,MD33-M-02
Atrb,Atribuição,Atribuído;Atribuir;Atributo,"Atribuição, Atribuído, Atribuir, Atributo",,,MD33-M-02
Atr,Atrito,Atritar,"Atrito, Atritar",,,MD33-M-02
Atu,Atuação,Atuar;Atuador;Atuante,"Atuação, Atuar, Atuador, Atuante",,,MD33-M-02
Atlz,Atualizar,Atualização,"Atualizar, Atualização",,,MD33-M-02
Aud,Auditor,Auditoria;Auditório;Auditar,"Auditor, Auditoria, Auditório, Auditar",,,MD33-M-02
A,Aula,,Aula,,sim,MD33-M-02
Aus,Ausentar,Ausência;Ausente,"Ausentar, Ausência, Ausente",,,MD33-M-02
Attc,Autenticar,Autenticação;Autêntico;Autenticador,"Autenticar, Autenticação, Autêntico, Autenticador",,,MD33-M-02
AI,Auto de Infração,,Auto de Infração,,,MD33-M-02
APF,Auto de Prisão em Flagrante,,Auto de Prisão em Flagrante,,,MD33-M-02
Auto,Auto,Automóvel,"Auto, Automóvel (A)",A,,MD33-M-02
A Def,Autodefesa,,Autodefesa,,,MD33-M-02
Au,Automática,,Automática,,,MD33-M-02
Aut,Autonomia,Autônomo,"Autonomia, Autônomo",,,MD33-M-02
AP,Autopropulsado,,Autopropulsado,,,MD33-M-02
AR,Auto-rebocado,,Auto-rebocado,,,MD33-M-02
Atdd,Autoridade,,Autoridade (A),A,,MD33-M-02
ADA,Autoridade da Defesa Aeroespacial,,Autoridade da Defesa Aeroespacial,,,MD33-M-02
ACO,Autoridade de Controle Operacional,,Autoridade de Controle Operacional,,,MD33-M-02
AC Op,Autoridade de Controle Operativo,,Autoridade de Controle Operativo,,,MD33-M-02
AC Op TOM,Autoridade de Controle Operativo do Teatro de Operações Marítimo,,Autoridade de Controle Operativo do Teatro de Operações Marítimo,,,MD33-M-02
AEA,Autoridade do Espaço Aéreo,,Autoridade do Espaço Aéreo,,,MD33-M-02
AEDA,Autoridade Executiva de Defesa Aeroespacial,,Autoridade Executiva de Defesa Aeroespacial,,,MD33-M-02
AGDA,Autoridade Governamental de Defesa Aérea,,Autoridade Governamental de Defesa Aérea,,,MD33-M-02
AODA,Autoridade Operacional de Defesa Aeroespacial,,Autoridade Operacional de Defesa Aeroespacial,,,MD33-M-02
AIT,Autorização para Inspeção de Tipo,,Autorização para Inspeção de Tipo,,,MD33-M-02
Autz,Autorizar,Autorização,"Autorizar, Autorização (A)",A,,MD33-M-02
Aux,Auxiliar,Auxílio;Auxiliador,"Auxiliar, Auxílio, Auxiliador",,,MD33-M-02
AVA,Avaliação da Ameaça Aeroespacial,,Avaliação da Ameaça Aeroespacial,,,MD33-M-02
Avl I,Avaliação da Instrução,,Avaliação da Instrução,,,MD33-M-02
Avl C,Avaliação do Currículo,,Avaliação do Currículo,,,MD33-M-02
BDA,Avaliação do Dano de Batalha (Battle Damage Assessment),,Avaliação do Dano de Batalha (Battle Damage Assessment),,,MD33-M-02
Avl,Avaliação,Avaliado;Avaliar;Avaliável;Avaliador,"Avaliação, Avaliado, Avaliar (A), Avaliável, Avaliador",A,,MD33-M-02
AEVP,Avançamento e Exploração de Vias Permanentes,,Avançamento e Exploração de Vias Permanentes,,,MD33-M-02
Avr,Avançar,Avanço;Avançada Avç Avaria;Avariar,"Avançar, Avanço, Avançada (A) Avç Avaria, Avariar",A,,MD33-M-02
Avb,Averbação,Averbar,"Averbação, Averbar",,,MD33-M-02
Avrg,Averiguar,Averiguação;Averiguado;Averiguador,"Averiguar, Averiguação, Averiguado, Averiguador",,,MD33-M-02
AAR,Aviação de Asas Rotativas,,Aviação de Asas Rotativas,,,MD33-M-02
Av,Aviação,Avião;Aviador,"Aviação, Avião, Aviador",,,MD33-M-02
Avn,Aviônico,,Aviônico,,,MD33-M-02
Avs,"Aviso (embarcação, documento)",Avisar,"Aviso (embarcação, documento), Avisar",,,MD33-M-02
ALA,Aviso de Limitação de Aeronavegabilidade,,Aviso de Limitação de Aeronavegabilidade,,,MD33-M-02
Az,Azimute,,Azimute,,,MD33-M-02
Azu,Azul,,Azul,,,MD33-M-02
Bag,Bagagem,Bagageiro,"Bagagem, Bagageiro",,,MD33-M-02
Bx F Cmb,Baixa Fora de Combate,,Baixa Fora de Combate,,,MD33-M-02
BV,Baixa Visibilidade,,Baixa Visibilidade,,,MD33-M-02
Bx,Baixa,Baixar,"Baixa, Baixar",,,MD33-M-02
Blc,Balanço,Balancete;Balançar;Balanço;Balancear,"Balanço, Balancete, Balançar, Balanço, Balancear",,,MD33-M-02
Bal,Balão,Balonismo;Balonista,"Balão, Balonismo, Balonista",,,MD33-M-02
Bltc,Balístico,,Balístico,,,MD33-M-02
Blz,Balizamento,Baliza;Balizar;Balizador,"Balizamento, Baliza, Balizar, Balizador",,,MD33-M-02
Bls,Balsa,Balseiro,"Balsa, Balseiro",,,MD33-M-02
DB,Banco de Dados (Data Base),,Banco de Dados (Data Base),,,MD33-M-02
Band,Bandeira,Bandeirola,"Bandeira, Bandeirola",,,MD33-M-02
Ban,Banho,Banheiro;Banhar,"Banho, Banheiro, Banhar",,,MD33-M-02
Barb,Barbeiro,Barbear;Barbeador,"Barbeiro, Barbear, Barbeador",,,MD33-M-02
Brc,Barca ou Barcaça,,Barca ou Barcaça (B),B,,MD33-M-02
BD,Barcaça de Desembarque,,Barcaça de Desembarque,,,MD33-M-02
Bofi,Barca-Oficina,,Barca-Oficina,,,MD33-M-02
Brm,Barema,,Barema,,,MD33-M-02
Br,Barragem,,Barragem (B),B,,MD33-M-02
BE,Barragem Eventual,,Barragem Eventual,,,MD33-M-02
BN,Barragem Normal,,Barragem Normal,,,MD33-M-02
Bar,Barreira,Barrar,"Barreira, Barrar",,,MD33-M-02
Basc,Basculante,Bascular,"Basculante, Bascular",,,MD33-M-02
Ba,Base,,Base (B),B,,MD33-M-02
B Adm,Base Administrativa,,Base Administrativa,,,MD33-M-02
B Ae,Base Aérea,,Base Aérea,,,MD33-M-02
BAP,Base Aérea Projetável,,Base Aérea Projetável,,,MD33-M-02
B Cont,Base Avançada B Avç Base Continental,,Base Avançada B Avç Base Continental,,,MD33-M-02
B Ap,Base de Apoio,,Base de Apoio,,,MD33-M-02
BAI,Base de Apoio Interno,,Base de Apoio Interno,,,MD33-M-02
BCR,Base de Combate Ribeirinho,,Base de Combate Ribeirinho,,,MD33-M-02
BCA,Base de Coordenação Avançada,,Base de Coordenação Avançada,,,MD33-M-02
BFN,Base de Fuzileiros Navais,,Base de Fuzileiros Navais,,,MD33-M-02
B Op,Base de Operações,,Base de Operações,,,MD33-M-02
BOA,Base de Operações Aéreas,,Base de Operações Aéreas,,,MD33-M-02
BOFE,Base de Operações de Forças Especiais,,Base de Operações de Forças Especiais,,,MD33-M-02
BOBAC,Base de Operações do Batalhão Ações de Comandos,,Base de Operações do Batalhão Ações de Comandos,,,MD33-M-02
BOBF Esp,Base de Operações do Batalhão de Forças Especiais,,Base de Operações do Batalhão de Forças Especiais,,,MD33-M-02
BI Ap,Base Intermediária de Apoio,,Base Intermediária de Apoio,,,MD33-M-02
Ba Log,Base Logísitica,,Base Logísitica,,,MD33-M-02
B Ult,Base Ultramarina,,Base Ultramarina,,,MD33-M-02
Bas,Básico,,Básico,,,MD33-M-02
Bat,Batalha,,Batalha (B),B,,MD33-M-02
Btl,Batalhão,,Batalhão (B),B,,MD33-M-02
BGP,Batalhão da Guarda Presidencial,,Batalhão da Guarda Presidencial,,,MD33-M-02
BAC,Batalhão de Ações de Comandos,,Batalhão de Ações de Comandos,,,MD33-M-02
B Ap Op Esp,Batalhão de Apoio às Operações Especiais,,Batalhão de Apoio às Operações Especiais,,,MD33-M-02
BAM,Batalhão de Armamento e Munição,,Batalhão de Armamento e Munição,,,MD33-M-02
Btl Art Fuz Nav,Batalhão de Artilharia de Fuzileiros Navais,,Batalhão de Artilharia de Fuzileiros Navais,,,MD33-M-02
Btl Bld Fuz Nav,Batalhão de Blindados de Fuzileiros Navais,,Batalhão de Blindados de Fuzileiros Navais,,,MD33-M-02
BC,Batalhão de Caçadores,,Batalhão de Caçadores,,,MD33-M-02
Btl Cmdo Ct,Batalhão de Comando e Controle,,Batalhão de Comando e Controle,,,MD33-M-02
B Com,Batalhão de Comunicação,,Batalhão de Comunicação,,,MD33-M-02
Ct Aetat Def AAe,Batalhão de Controle Aerotático e Defesa Antiaérea Btl,,Batalhão de Controle Aerotático e Defesa Antiaérea Btl,,,MD33-M-02
BE Cmb,Batalhão de Engenharia de Combate,,Batalhão de Engenharia de Combate,,,MD33-M-02
BEC,Batalhão de Engenharia de Construção,,Batalhão de Engenharia de Construção,,,MD33-M-02
Btl Eng Fuz Nav,Batalhão de Engenharia de Fuzileiros Navais,,Batalhão de Engenharia de Fuzileiros Navais,,,MD33-M-02
BE Topo,Batalhão de Engenharia Topográfico,,Batalhão de Engenharia Topográfico,,,MD33-M-02
B F Esp,Batalhão de Forças Especiais,,Batalhão de Forças Especiais,,,MD33-M-02
B Fron,Batalhão de Fronteira,,Batalhão de Fronteira,,,MD33-M-02
BG,Batalhão de Guardas,,Batalhão de Guardas,,,MD33-M-02
B He,Batalhão de Helicópteros,,Batalhão de Helicópteros,,,MD33-M-02
BI,Batalhão de Infantaria,,Batalhão de Infantaria,,,MD33-M-02
BIB,Batalhão de Infantaria Blindado,,Batalhão de Infantaria Blindado,,,MD33-M-02
Btl Inf Fuz Nav,Batalhão de Infantaria de Fuzileiros Navais,,Batalhão de Infantaria de Fuzileiros Navais,,,MD33-M-02
BI Mth,Batalhão de Infantaria de Montanha,,Batalhão de Infantaria de Montanha,,,MD33-M-02
BIS,Batalhão de Infantaria de Selva,,Batalhão de Infantaria de Selva,,,MD33-M-02
BIL,Batalhão de Infantaria Leve,,Batalhão de Infantaria Leve,,,MD33-M-02
BI Mtz,Batalhão de Infantaria Motorizado,,Batalhão de Infantaria Motorizado,,,MD33-M-02
BI Pqdt,Batalhão de Infantaria Pára-quedista,,Batalhão de Infantaria Pára-quedista,,,MD33-M-02
Btl Log Fuz Nav,Batalhão de Logística de Fuzileiros Navais,,Batalhão de Logística de Fuzileiros Navais,,,MD33-M-02
BMA,Batalhão de Manutenção de Armamento,,Batalhão de Manutenção de Armamento,,,MD33-M-02
BMM,Batalhão de Motomecanização,,Batalhão de Motomecanização,,,MD33-M-02
B Op Psc,Batalhão de Operações Psicológicas,,Batalhão de Operações Psicológicas,,,MD33-M-02
Btl Op Rib,Batalhão de Operações Ribeirinhas,,Batalhão de Operações Ribeirinhas,,,MD33-M-02
BPE,Batalhão de Polícia do Exército,,Batalhão de Polícia do Exército,,,MD33-M-02
B Rcp,Batalhão de Recompletamento,,Batalhão de Recompletamento,,,MD33-M-02
B,Batalhão de Saúde,,Batalhão de Saúde,C,,MD33-M-02
B Sv,Batalhão de Serviços,,Batalhão de Serviços,,,MD33-M-02
B Sup,Batalhão de Suprimento,,Batalhão de Suprimento,,,MD33-M-02
B Trnp,Batalhão de Transportes,,Batalhão de Transportes,,,MD33-M-02
Btl Vtr Anf,Batalhão de Viaturas Anfíbias,,Batalhão de Viaturas Anfíbias,,,MD33-M-02
B Dep,Batalhão Depósito,,Batalhão Depósito,,,MD33-M-02
BD Mun,Batalhão Depósito de Munição,,Batalhão Depósito de Munição,,,MD33-M-02
B Log,Batalhão Logístico,,Batalhão Logístico,,,MD33-M-02
Btl Nav,Batalhão Naval,,Batalhão Naval,,,MD33-M-02
BP Mnt,Batalhão Pesado de Manutenção,,Batalhão Pesado de Manutenção,,,MD33-M-02
Bt,Batelão (tipo de embarcação),,Batelão (tipo de embarcação),,,MD33-M-02
Bia,Bateria,,Bateria (B),B,,MD33-M-02
Btr,Bateria (elétrica) automóvel,,Bateria (elétrica) automóvel,,,MD33-M-02
Bia BA,Bateria de Busca de Alvos,,Bateria de Busca de Alvos,,,MD33-M-02
Bia C,Bateria de Comando,,Bateria de Comando,,,MD33-M-02
Bia C Sv,Bateria de Comando e Serviços,,Bateria de Comando e Serviços,,,MD33-M-02
Bia LMF,Bateria de Lançadores Múltiplos de Foguetes,,Bateria de Lançadores Múltiplos de Foguetes,,,MD33-M-02
Bia O,Bateria de Obuses,,Bateria de Obuses,,,MD33-M-02
Bia Tir LF,Bateria de Tiro de Linha de Fogo,,Bateria de Tiro de Linha de Fogo,,,MD33-M-02
Biblg,Bibliografia,,Bibliografia,,,MD33-M-02
Bibl,Biblioteca,Bibliotecário,"Biblioteca, Bibliotecário",,,MD33-M-02
Bif,Bifurcação,Bifurcar,"Bifurcação, Bifurcar",,,MD33-M-02
2M,Bimotor,,Bimotor,,,MD33-M-02
Bio,Biológica,Biológico;Biologia;Biólogo,"Biológica, Biológico (B), Biologia, Biólogo",B,,MD33-M-02
Bir,Biruta,,Biruta,,,MD33-M-02
Bit,Bitola,,Bitola,,,MD33-M-02
Biv,Bivaque,Bivacar,"Bivaque, Bivacar",,,MD33-M-02
Bld,Blindada,Blindagem;Blindar,"Blindada, Blindagem, Blindar (B)",B,,MD33-M-02
BEI,Bloco de Ensino Individualizado,,Bloco de Ensino Individualizado,,,MD33-M-02
Blq,Bloqueio,Bloquear;Bloqueador,"Bloqueio, Bloquear, Bloqueador",,,MD33-M-02
B Dir,Boa Direção,,Boa Direção,,,MD33-M-02
Bob,Bobina,,Bobina,,,MD33-M-02
Bc,Bocal,Boca;Bucal,"Bocal, Boca, Bucal",,,MD33-M-02
BR,Bóia Radiosônica,,Bóia Radiosônica,,,MD33-M-02
Bol,Boletim,,Boletim (B),B,,MD33-M-02
BE,Boletim do Exército,,Boletim do Exército,,,MD33-M-02
BI,Boletim Interno,,Boletim Interno,,,MD33-M-02
Bol Res,Boletim Reservado,,Boletim Reservado,,,MD33-M-02
BRE,Boletim Reservado do Exército,,Boletim Reservado do Exército,,,MD33-M-02
B Tec,Boletim Técnico,,Boletim Técnico,,,MD33-M-02
Bb,Bomba,,Bomba (B),B,,MD33-M-02
BAP,Bomba Antipista,,Bomba Antipista,,,MD33-M-02
BAFG,Bomba de Baixo Arrasto de Fins Gerais,,Bomba de Baixo Arrasto de Fins Gerais,,,MD33-M-02
Bb CL,Bomba de Casco Leve,,Bomba de Casco Leve,,,MD33-M-02
Bb EG,Bomba de Emprego Geral,,Bomba de Emprego Geral,,,MD33-M-02
BFA,Bomba de Freio Aerodinâmico,,Bomba de Freio Aerodinâmico,,,MD33-M-02
BP,Bomba de Profundidade,,Bomba de Profundidade,,,MD33-M-02
B Incd,Bomba Incendiária,,Bomba Incendiária,,,MD33-M-02
BLG,Bomba Lança-Granada,,Bomba Lança-Granada,,,MD33-M-02
Bb Q,Bomba Química,,Bomba Química,,,MD33-M-02
BONACOTE,Bombardeio Naval Contra Objetivos Terrestres,,Bombardeio Naval Contra Objetivos Terrestres,,,MD33-M-02
BN,Bombardeio Nivelado,,Bombardeio Nivelado,,,MD33-M-02
BP,Bombardeio Picado,,Bombardeio Picado,,,MD33-M-02
BR,Bombardeio Rasante,,Bombardeio Rasante,,,MD33-M-02
BRAA,Bombardeio Rasante de Alto Arrasto,,Bombardeio Rasante de Alto Arrasto,,,MD33-M-02
BRBA,Bombardeio Rasante de Baixo Arrasto,,Bombardeio Rasante de Baixo Arrasto,,,MD33-M-02
Bomb,Bombardeio,Bombardeiro;Bombardear,"Bombardeio, Bombardeiro, Bombardear (B)",B,,MD33-M-02
Bom,Bombeiro,,Bombeiro,,,MD33-M-02
Bb,Bombordo,,Bombordo,,,MD33-M-02
Be,Boreste,,Boreste,,,MD33-M-02
Bos,Bosque,,Bosque,,,MD33-M-02
Bt,Bote,,Bote,,,MD33-M-02
Brnc,Branco,,Branco (B),B,,MD33-M-02
Bra,Brasileira,,Brasileira (B),B,,MD33-M-02
Bre,Brecha,,Brecha,,,MD33-M-02
Bda,Brigada,,Brigada,,,MD33-M-02
Bda Anf,Brigada Anfíbia,,Brigada Anfíbia,,,MD33-M-02
Bda AAAe,Brigada de Artilharia Antiaérea,,Brigada de Artilharia Antiaérea,,,MD33-M-02
Bda Av Ex,Brigada de Aviação do Exército,,Brigada de Aviação do Exército,,,MD33-M-02
Bda C Bld,Brigada de Cavalaria Blindada,,Brigada de Cavalaria Blindada,,,MD33-M-02
Bda C Mec,Brigada de Cavalaria Mecanizada,,Brigada de Cavalaria Mecanizada,,,MD33-M-02
Bda Inf Bld,Brigada de Infantaria Blindada,,Brigada de Infantaria Blindada,,,MD33-M-02
Bda Inf Sl,Brigada de Infantaria de Selva,,Brigada de Infantaria de Selva,,,MD33-M-02
Bda Inf L,Brigada de Infantaria Leve,,Brigada de Infantaria Leve,,,MD33-M-02
Bda Inf Mtz,Brigada de Infantaria Motorizada,,Brigada de Infantaria Motorizada,,,MD33-M-02
Bda Inf Pqdt,Brigada de Infantaria Pára-quedista,,Brigada de Infantaria Pára-quedista,,,MD33-M-02
Bda Op Esp,Brigada de Operações Especiais,,Brigada de Operações Especiais,,,MD33-M-02
Bsc,Busca,Buscar;Buscador,"Busca (B), Buscar, Buscador",B,,MD33-M-02
B Infe,Busca de Informes,,Busca de Informes,,,MD33-M-02
CSAR,Busca e Resgate em Combate (Combat Search and Rescue),,Busca e Resgate em Combate (Combat Search and Rescue),,,MD33-M-02
SAR,Busca e Salvamento (Search and Rescue),,Busca e Salvamento (Search and Rescue),,,MD33-M-02
Bus,Bússola,,Bússola (B),B,,MD33-M-02
C Pnt,Cabeça-de-Ponte,,Cabeça-de-Ponte,,,MD33-M-02
C Pso,Cabeça-de-Pouso,,Cabeça-de-Pouso,,,MD33-M-02
CP ou C Pra,Cabeça-de-Praia,,Cabeça-de-Praia,,,MD33-M-02
Cabc,Cabeceira,,Cabeceira,,,MD33-M-02
Cab,Cabine,,Cabine,,,MD33-M-02
Ca,Caça,,Caça (C),C,,MD33-M-02
Cdtr,Caçadores Cçd Cadastrar,Cadastro;Cadastrado;Cadastramento;Cadastral,"Caçadores (C) Cçd Cadastrar, Cadastro, Cadastrado, Cadastramento, Cadastral",C,,MD33-M-02
Cd,Cadeia,,Cadeia,,,MD33-M-02
Cadr,Caderno,Caderneta,"Caderno, Caderneta",,,MD33-M-02
Caf,Cafezal,,Cafezal,,,MD33-M-02
Cx,Caixa,Caixote;Caixão,"Caixa, Caixote, Caixão",,,MD33-M-02
Clmd,Calamidade,,Calamidade,,,MD33-M-02
Clc,Calco,,Calco,,,MD33-M-02
Calc,Calculadora,Cálculo;Calcular,"Calculadora, Cálculo, Calcular",,,MD33-M-02
Cald,Caldeiras,,Caldeiras,,,MD33-M-02
Cal,Calibre,Calibrador;Calibrar,"Calibre, Calibrador, Calibrar",,,MD33-M-02
Camb,Camburão,,Camburão,,,MD33-M-02
Cam,Caminhão,,Caminhão,,,MD33-M-02
Cmp,Campanha,Campo,"Campanha, Campo (C)",C,,MD33-M-02
C Con,Campo de Concentração,,Campo de Concentração,,,MD33-M-02
C Ev PG,Campo de Evacuação de Prisioneiros de Guerra,,Campo de Evacuação de Prisioneiros de Guerra,,,MD33-M-02
C Pso,Campo de Pouso,,Campo de Pouso,,,MD33-M-02
CPG,Campo de Prisioneiros de Guerra,,Campo de Prisioneiros de Guerra,,,MD33-M-02
CRPG,Campo de Recepção de Prisioneiros de Guerra,,Campo de Recepção de Prisioneiros de Guerra,,,MD33-M-02
C Rpo,Campo de Repouso,,Campo de Repouso,,,MD33-M-02
C Reu PG,Campo de Reunião de Prisioneiros de Guerra,,Campo de Reunião de Prisioneiros de Guerra,,,MD33-M-02
CSDPG,Campo de Seleção e Distribuição de Prisioneiros de Guerra,,Campo de Seleção e Distribuição de Prisioneiros de Guerra,,,MD33-M-02
FOV,Campo de Visada (Field Of View),,Campo de Visada (Field Of View),,,MD33-M-02
C Mil,Campo Militar,,Campo Militar,,,MD33-M-02
C Min,Campo Minado,,Campo Minado,,,MD33-M-02
Cmp TE,Campo Técnico Especializado,,Campo Técnico Especializado,,,MD33-M-02
Cmf,Camuflagem,Camuflar,"Camuflagem, Camuflar",,,MD33-M-02
C Mult,Canais Múltiplos,,Canais Múltiplos,,,MD33-M-02
C Var,Canal Varrido,,Canal Varrido,,,MD33-M-02
Cn,Canal,Canalizar;Canalização Canalizável;Canalizador,"Canal, Canalizar, Canalização (C) Canalizável, Canalizador",C,,MD33-M-02
Cancl,Cancelamento,Cancelar;Cancelável,"Cancelamento, Cancelar, Cancelável",,,MD33-M-02
Candt,Candidato,Candidatar;Candidatura,"Candidato, Candidatar, Candidatura",,,MD33-M-02
CSR,Canhão Sem Recuo,,Canhão Sem Recuo,,,MD33-M-02
Can,Canhão,Canhoneira,"Canhão, Canhoneira",,,MD33-M-02
Ctr,Canteiro,,Canteiro,,,MD33-M-02
Cant,Cantina,Cantineiro,"Cantina, Cantineiro",,,MD33-M-02
CG,Cão de Guerra,,Cão de Guerra,,,MD33-M-02
Cpcd,Capacidade,,Capacidade,,,MD33-M-02
Cpc,Capacitar,Capacitação,"Capacitar, Capacitação",,,MD33-M-02
Cpz,Capatazia,Capataz,"Capatazia, Capataz",,,MD33-M-02
Capl,Capelão,Capelania;Capela,"Capelão, Capelania, Capela",,,MD33-M-02
Cptl,Capital,Capitalizar;Capitalizável,"Capital, Capitalizar, Capitalizável",,,MD33-M-02
CP,Capitania dos Portos,,Capitania dos Portos,,,MD33-M-02
Cap,Capítulo,Capitular,"Capítulo, Capitular",,,MD33-M-02
Cpt,Captura,Capturar,"Captura, Capturar (C)",C,,MD33-M-02
Cpt EA,Capturado em Ação,,Capturado em Ação,,,MD33-M-02
Crtr,Característica,Caracterizar,"Característica, Caracterizar",,,MD33-M-02
Car,Caráter,,Caráter,,,MD33-M-02
CHR,Carga Horária Real,,Carga Horária Real,,,MD33-M-02
Cg HT,Carga Horária Total,,Carga Horária Total,,,MD33-M-02
CPU,Carga Prescrita da Unidade,,Carga Prescrita da Unidade,,,MD33-M-02
CPI,Carga Prescrita Individual,,Carga Prescrita Individual,,,MD33-M-02
Cg,Carga,Carregar;Carregamento;Carregador,"Carga, Carregar, Carregamento, Carregador (C)",C,,MD33-M-02
Cgo,Cargo,,Cargo,,,MD33-M-02
Crg,Cargueiro,,Cargueiro,,,MD33-M-02
C,Carro,,Carro,,sim,MD33-M-02
CCI,Carro Contra-Incêndio,,Carro Contra-Incêndio,,,MD33-M-02
CBA,Carro de Baterias Auxiliar,,Carro de Baterias Auxiliar,,,MD33-M-02
CC,Carro de Combate,,Carro de Combate,,,MD33-M-02
CC Anf,Carro de Combate Anfíbio,,Carro de Combate Anfíbio,,,MD33-M-02
CCL,Carro de Combate Leve,,Carro de Combate Leve,,,MD33-M-02
CCM,Carro de Combate Médio,,Carro de Combate Médio,,,MD33-M-02
CCP,Carro de Combate Pesado,,Carro de Combate Pesado,,,MD33-M-02
CL Anf,Carro-Lagarta Anfíbio,,Carro-Lagarta Anfíbio,,,MD33-M-02
CL Anf C,Carro-Lagarta Anfíbio de Comando,,Carro-Lagarta Anfíbio de Comando,,,MD33-M-02
CL Anf Eng,Carro-Lagarta Anfíbio de Engenharia,,Carro-Lagarta Anfíbio de Engenharia,,,MD33-M-02
Crt,Carta,,Carta (C),C,,MD33-M-02
CAI,Carta de Aproximação por Instrumentos,,Carta de Aproximação por Instrumentos,,,MD33-M-02
LOA,Carta de Assistência (Letter of Assistance),,Carta de Assistência (Letter of Assistance),,,MD33-M-02
Crt SMC,Carta de Sistema Multicanal,,Carta de Sistema Multicanal,,,MD33-M-02
CHAMH,Cartão de Habilitação para Assistência Médico-Hospitalar,,Cartão de Habilitação para Assistência Médico-Hospitalar,,,MD33-M-02
Crtf,Cartografia,Cartográfico;Cartógrafo,"Cartografia, Cartográfico, Cartógrafo",,,MD33-M-02
Cart,Cartucho,,Cartucho,,,MD33-M-02
Ctl,Catalogar,Catálogo;Catalogação;Catalogável,"Catalogar, Catálogo, Catalogação, Catalogável",,,MD33-M-02
Catg,Categoria,Categorizar,"Categoria, Categorizar",,,MD33-M-02
Cla,Cautela,Cautelar,"Cautela, Cautelar",,,MD33-M-02
Cav,Cavalaria,Cavalo,"Cavalaria, Cavalo (C)",C,,MD33-M-02
Cvt,Cavalete,,Cavalete,,,MD33-M-02
Ceg,Cavalo de Mão C Mão Cegamento,Cegar,"Cavalo de Mão C Mão Cegamento, Cegar",,,MD33-M-02
Celbr,Celebrar,Celebração;Celebrante;Celebrável;Célebre,"Celebrar, Celebração, Celebrante, Celebrável, Célebre",,,MD33-M-02
C,Célula,,Célula,,sim,MD33-M-02
CCS,Célula de Comunicação Social,,Célula de Comunicação Social,,,MD33-M-02
CCEA,Célula de Controle do Espaço Aéreo,,Célula de Controle do Espaço Aéreo,,,MD33-M-02
CCOA,Célula de Coordenação de Operações Aéreas,,Célula de Coordenação de Operações Aéreas,,,MD33-M-02
CIC,Célula de Inteligência de Combate,,Célula de Inteligência de Combate,,,MD33-M-02
COC,Célula de Operações Correntes (Current Operations Cell),,Célula de Operações Correntes (Current Operations Cell),,,MD33-M-02
C Prg,Célula de Programação,,Célula de Programação,,,MD33-M-02
Celu,Celular,,Celular,,,MD33-M-02
Cem,Cemitério,,Cemitério,,,MD33-M-02
Cens,Censura,Censurar;Censor;Censurável,"Censura, Censurar, Censor, Censurável",,,MD33-M-02
CCB,Central de Controle de Bateria,,Central de Controle de Bateria,,,MD33-M-02
CPJ,Central de Processos Judiciários,,Central de Processos Judiciários,,,MD33-M-02
C Tel,Central Telefônica,Centro Telefônico,"Central Telefônica, Centro Telefônico",,,MD33-M-02
Cent,Central,Centro,"Central, Centro (C)",C,,MD33-M-02
Cntz,Centralizar,Centralização;Centralizado;Centralizador,"Centralizar, Centralização, Centralizado, Centralizador",,,MD33-M-02
CCIS,Centro Controlador de Inteligência de Sinais,,Centro Controlador de Inteligência de Sinais,,,MD33-M-02
CAI,Centro de Análise de Inteligência,,Centro de Análise de Inteligência,,,MD33-M-02
CAL,Centro de Apoio Logístico,,Centro de Apoio Logístico,,,MD33-M-02
CALH,Centro de Apoio Logístico por Helicópteros,,Centro de Apoio Logístico por Helicópteros,,,MD33-M-02
CB,Centro de Bateria,,Centro de Bateria,,,MD33-M-02
CECAFA,Centro de Catalogação das Forças Armadas,,Centro de Catalogação das Forças Armadas,,,MD33-M-02
CCTOM,Centro de Comando do Teatro de Operações Marítimo,,Centro de Comando do Teatro de Operações Marítimo,,,MD33-M-02
CC2,Centro de Comando e Controle,,Centro de Comando e Controle,,,MD33-M-02
CC2 F Ter,Centro de Comando e Controle da Força Terrestre,,Centro de Comando e Controle da Força Terrestre,,,MD33-M-02
CC2 C Cbn,Centro de Comando e Controle de Comando Combinado,,Centro de Comando e Controle de Comando Combinado,,,MD33-M-02
