# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
A Ct ou CTA,Área de Controle (Control Area),,Área de Controle (Control Area),,,MD33-M-02
AC Ca,Área de Controle de Caça,,Área de Controle de Caça,,,MD33-M-02
TMA,Área de Controle Terminal (Terminal Area),,Área de Controle Terminal (Terminal Area),,,MD33-M-02
ACF,Área de Coordenação de Fogos,,Área de Coordenação de Fogos,,,MD33-M-02
ADI,Área de Defesa Interna,,Área de Defesa Interna,,,MD33-M-02
ADT,Área de Defesa Territorial,,Área de Defesa Territorial,,,MD33-M-02
A Dbq,Área de Desembarque,,Área de Desembarque,,,MD33-M-02
A Dbq Rib,Área de Desembarque Ribeirinho,,Área de Desembarque Ribeirinho,,,MD33-M-02
AFL,Área de Fogo Livre,,Área de Fogo Livre,,,MD33-M-02
AFP,Área de Fogo Proibido,,Área de Fogo Proibido,,,MD33-M-02
AMD,Área de Minagem Defensiva,,Área de Minagem Defensiva,,,MD33-M-02
A Op,Área de Operações,,Área de Operações,,,MD33-M-02
A Op C,Área de Operações Combinadas,,Área de Operações Combinadas,,,MD33-M-02
AOGI,Área de Operações de Guerra Irregular,,Área de Operações de Guerra Irregular,,,MD33-M-02
APT,Área de Perigo Torpédico,,Área de Perigo Torpédico,,,MD33-M-02
A Rst,Área de Resistência,,Área de Resistência,,,MD33-M-02
ARP,Área de Responsabilidade,,Área de Responsabilidade,,,MD33-M-02
ARE,Área de Reunião de Evacuados,,Área de Reunião de Evacuados,,,MD33-M-02
ARTM,Área de Risco ao Tráfego Marítimo,,Área de Risco ao Tráfego Marítimo,,,MD33-M-02
ASP,Área de Segurança do Porto,,Área de Segurança do Porto,,,MD33-M-02
ASN,Área de Segurança Nacional,,Área de Segurança Nacional,,,MD33-M-02
AT,Área de Trens,,Área de Trens,,,MD33-M-02
ATU,Área de Trens de Unidade,,Área de Trens de Unidade,,,MD33-M-02
AOA,Área do Objetivo Anfíbio,,Área do Objetivo Anfíbio,,,MD33-M-02
AG Dbq,Área Geral de Desembarque,,Área Geral de Desembarque,,,MD33-M-02
A Lib,Área Liberada,,Área Liberada,,,MD33-M-02
AM Bra,Área Marítima Brasileira,,Área Marítima Brasileira,,,MD33-M-02
AM Op,Área Marítima de Operações,,Área Marítima de Operações,,,MD33-M-02
AMAS,Área Marítima do Atlântico Sul,,Área Marítima do Atlântico Sul,,,MD33-M-02
AOC,Área Operacional Continental (ou do continente),,Área Operacional Continental (ou do continente),,,MD33-M-02
AOGI,Área Operacional de Guerra Irregular,,Área Operacional de Guerra Irregular,,,MD33-M-02
AOEC,Área Operacional Extracontinental,,Área Operacional Extracontinental,,,MD33-M-02
A Rib,Área Ribeirinha,,Área Ribeirinha,,,MD33-M-02
ATDP,Área Terrestre de Defesa do Porto,,Área Terrestre de Defesa do Porto,,,MD33-M-02
Avi,Área Vital,,Área Vital,,,MD33-M-02
AVP,Área Vital de Porto,,Área Vital de Porto,,,MD33-M-02
AOFESP,Áreas Operacionais de Forças Especiais,,Áreas Operacionais de Forças Especiais,,,MD33-M-02
A,Arma,,Arma,,sim,MD33-M-02
A Au,Arma Automática,,Arma Automática,,,MD33-M-02
Ar P,Arma de Proa,,Arma de Proa,,,MD33-M-02
AN,Arma Nuclear,,Arma Nuclear,,,MD33-M-02
Armd,Armadilha,Armado,"Armadilha, Armado",,,MD33-M-02
Armt,Armamento,,Armamento,,,MD33-M-02
Armz,Armazém,Armazenamento;Armazenar;Armazenador,"Armazém, Armazenamento, Armazenar, Armazenador",,,MD33-M-02
Arqt,Arquiteto,Arquitetura;Arquitetar,"Arquiteto, Arquitetura, Arquitetar",,,MD33-M-02
Arq,Arquivar,Arquivo;Arquivista,"Arquivar, Arquivo, Arquivista",,,MD33-M-02
Arch,Arranchar,Arranchamento,"Arranchar, Arranchamento",,,MD33-M-02
Arbt,Arrebentamento,Arrebentar,"Arrebentamento, Arrebentar",,,MD33-M-02
Arrg,Arregimentar,Arregimentação;Arregimentável,"Arregimentar, Arregimentação, Arregimentável",,,MD33-M-02
Ar,Arroio,,Arroio,,,MD33-M-02
Ars,Arsenal,,Arsenal,,,MD33-M-02
Artf,Artificial,Artifício;Artífice,"Artificial, Artifício, Artífice",,,MD33-M-02
Art,Artigo,,Artigo (A),A,,MD33-M-02
AAAe,Artilharia Antiaérea,,Artilharia Antiaérea,,,MD33-M-02
AD,Artilharia Divisionária,,Artilharia Divisionária,,,MD33-M-02
Art P,Artilharia Pesada,,Artilharia Pesada,,,MD33-M-02
Art,Artilharia,Artilhar;Artilheiro,"Artilharia, Artilhar, Artilheiro (A)",A,,MD33-M-02
Asf,Asfalto,Asfaltar,"Asfalto, Asfaltar",,,MD33-M-02
Asp,Aspirante,Aspirar;Aspirador,"Aspirante, Aspirar, Aspirador",,,MD33-M-02
Ass,Assalto,Assaltante;Assaltar,"Assalto, Assaltante (A), Assaltar",A,,MD33-M-02
Asml,Assemelhar,Assemelhado,"Assemelhar, Assemelhado",,,MD33-M-02
Asnt,Assentamentos,Assentar,"Assentamentos, Assentar",,,MD33-M-02
Asse,Assessor,Assessorar;Assessoria;Assessoramento,"Assessor, Assessorar, Assessoria, Assessoramento",,,MD33-M-02
ACSD,Assessoria de Comunicação Social Desdobrada,,Assessoria de Comunicação Social Desdobrada,,,MD33-M-02
AID,Assessoria de Inteligência Desdobrada,,Assessoria de Inteligência Desdobrada,,,MD33-M-02
Asnl,Assinalar,Assinalado;Assinalável;Assinalador,"Assinalar, Assinalado, Assinalável, Assinalador",,,MD33-M-02
Assn,Assinante,Assinar;Assinatura,"Assinante, Assinar, Assinatura",,,MD33-M-02
AMH,Assistência Médico-Hospitalar,,Assistência Médico-Hospitalar,,,MD33-M-02
Asst,Assistente,Assistência;Assistir,"Assistente, Assistência, Assistir (A)",A,,MD33-M-02
ABNT,Associação Brasileira de Normas Técnicas,,Associação Brasileira de Normas Técnicas,,,MD33-M-02
Asc,Associar,Associação;Associável;Associativo,"Associar, Associação, Associável, Associativo",,,MD33-M-02
As,Assunto,,Assunto,,,MD33-M-02
Atc,Atacar,Atacante,"Atacar, Atacante",,,MD33-M-02
Atq,Ataque,,Ataque,,,MD33-M-02
At,Atenção,Atentar,"Atenção, Atentar",,,MD33-M-02
Atd,Atendente,Atender;Atendimento,"Atendente, Atender, Atendimento",,,MD33-M-02
AP,Atendimento Personalizado,,Atendimento Personalizado,,,MD33-M-02
Ater,Aterragem,Aterrar,"Aterragem, Aterrar",,,MD33-M-02
AO,Atestado de Origem,,Atestado de Origem,,,MD33-M-02
